id,domain,capability,evidence,readiness,current_sybilsight,next_gate,risk
R1-090,Temperature,"Exact GXT310 acquisition and calibration interface","Firmware uses i2c_2 with raw address bytes 90/94, expected ID 50 and temperature/configuration/ID registers 00/01/03. Samples are signed big-endian Int16 times 0.0078125 C, normal wire configuration is 00 C2 enable and 01 C2 disable, and dormant one-shot wire configuration is 01 C1. The immediate sampler and per-channel one-shot veneers have no recovered callers","Firmware-confirmed interface and arithmetic; source-built Zephyr transport/acquisition and persisted calibration implemented; physical channel roles remain capture-gated","Version-scoped evidence plus pure tested raw conversion exact trim/average/calibration and the six-byte calibration decoder are composed with the recovered P1.13/P0.28 software-i2c_2 provider two-address ID probe immediate read bounded ten-pair acquisition and read-only nv_r1 offset-3E calibration; no timer event-9 publisher daily-cache injection channel-role label or BLE control is exposed","Capture both raw/calibrated channels against controlled contact and ambient references; establish address convention at the electrical layer, channel placement and algorithm linkage; compare revisions for dormant-helper reachability","High"
R1-091,Input,"Exact IQS7211E controller configuration and native-gesture boundary","Initializer 2f880 writes I2C address 56, event config 476c, trackpad config 0328, one-finger 3Rx by 7/8Tx geometry and gesture mask 0c0f with 400 ms tap, 300 ms air, 1000 ms hold, 600 ms swipe and 75-pixel initial Y threshold. IRQ worker 30e6c begins at register 0f and omits gesture word 0e; too-many-fingers flag 1000 issues reseed byte 08","Firmware and official register-map confirmed; offline support implemented; native extra-event delivery requires custom firmware","Typed gesture mask and version-scoped tested configuration expose enabled/disabled recognizers, geometry, thresholds and the exact stock read/forwarding boundary without a register writer","Capture stock coordinate/IRQ timing and slider metadata; only add native triple or reconfigured swipe-and-hold through an authenticated recoverable firmware bridge with false-positive and power validation","High"
R1-092,Input,"IQS7211E raw 21/24-channel diagnostic matrices","IRQ worker 30e6c always reads 42 or 48 bytes of little-endian count words from E0; diagnostic selector 0...3 at 6210c/93414 returns E0 count, E1 reference, E2 signed count-minus-reference delta or E3 10-bit ATI compensation on the next eligible IRQ, resets the selector and queues the untagged frame through 34070 to the glasses connection. Channel order advances across 3 logical Rxs before each Tx; 41a40 separately audits E3 min/max","Firmware and official register-map confirmed; strict offline support implemented; live selection and stock G2-to-phone delivery remain capture/auth gated","Typed bank/layout/frame models strictly accept only 42/48-byte records, preserve raw UInt16 words, expose signed deltas and logical Rx/Tx positions, and intentionally provide no register or diagnostic-command writer","Passively establish the selector packet authorization and whether stock G2 relays the response; if later enabled, require explicit consent, rate limiting, no default persistence and sacrificial-hardware ATI/power validation","High"
R1-093,Input,"IQS7211E normal status and calibrated absolute coordinates","IRQ worker 30e6c reads exactly three UInt16LE words at 0F...11: complete information flags plus finger-1 absolute X/Y. It retains X but bridge 6FC78 feeds only Y, unsigned E0 mean and sensing-mode bits to gesture producer 92CBC. Missing Y FFFF with mean below 350.0 releases at the prior position. Initializer 8E758 selects one of 20 scatter-registered ring-size/layout records and maps Y through Float32 213.333328 trim units to a clamped/truncated 0...200 coordinate; strength, area, second finger, relative coordinates and per-channel touch status are outside the read","Firmware and official register-map confirmed; strict offline frame/calibration support implemented; normal record is internal and live forwarding remains capture/auth gated","Lossless info OptionSet preserves all named, multi-bit, unknown-mode and reserved fields; strict six-byte decoder preserves X/Y/sentinels; exact 7x3 and 8x3 size-6...15 calibration tables and pure scaling routine are boundary tested. Reproducible scatter summarizer emits all pointers and 30-byte records; no controller or diagnostic writer is exposed","Physically correlate raw and scaled coordinates for each obtainable layout/ring size, then use an authenticated explicit-consent bridge if continuous X/Y is needed; extend the read for strength/area only after power, rate and privacy validation","High"
R1-094,Input,"IQS7211E production electrode topology and cycle allocation","Initializer 2F880 consumes all remaining semantic fields of the 20 size/layout records: byte0 is the default global trackpad ATI compensation divider, byte2 is the fine fractional divider and bytes5...28 populate logical channel cycle slots. Fixed mapping at 56 maps logical Rxs to controller electrodes 2/6/3; 7-Tx maps to 5/8/7/11/0/9/1 and 8-Tx to 5/8/7/11/0/9/12/1. Only trim-bounded Tx rows are active; each uses a paired ProxA/ProxB cycle for Rx0/Rx1 and ProxA-only cycle for Rx2. Unallocated FF channels report ATI target rather than zero","Firmware and official register-map confirmed; complete read-only offline topology support implemented; package pins and physical ring positions remain hardware-evidence gated","Typed production configurations reconstruct every 30-byte record, 14-byte mapping payload and 63-byte/21-cycle payload; expose default/fine dividers, active masks, controller Rx/Tx electrodes, Prox engine and allocation state for every logical channel. The scatter summarizer independently validates all records and no register writer is exposed","Correlate controller electrode indices with the populated package and FPC/PCB geometry using board evidence or high-impedance probing, then validate active masks and ATI-target behavior on each obtainable layout/size without rewriting configuration","High"
R1-095,Input,"IQS7211E complete finger, relative, gesture and touch-status output","The official read-only 0A...1A window is 17 little-endian words: signed relative X/Y, signed gesture X/Y, native gesture bits, info flags, absolute X/Y plus delta-sum strength and channel-count area for each of two fingers, and one touch bit for channels 0...41 with six reserved high bits. Production configures one finger and IRQ worker 30E6C reads only 0F...11; recovered factory commands expose TOUCH_INIT/TOUCH_HW and E0...E3 selection but no arbitrary output-register read","Controller/register shape confirmed and strict offline future-capture support implemented; acquisition is custom-diagnostic/firmware-only and two-finger output additionally requires reconfiguration/physical validation","Strict 34-byte decoder preserves signed movement, all native and reserved bits, missing-coordinate sentinels, both finger records and raw touch words; per-size topology filters touch bits to allocated channels. No live I2C, generic diagnostic or controller writer is exposed","On a recoverable authenticated firmware track, forward the full window at a bounded rate with explicit touch-data consent; validate latency/power and single-finger values first, then test two-finger geometry only after safe configuration rollback is proven","High"
R1-096,Input,"IQS7211E alternate low-power proximity/touch channel","Production configures filtered projected-capacitive ALP on controller Rx2/Rx6 and all mapped Txs, combining ProxA/B counts for LP1/LP2 wake. Exact settings include ATI 0222, compensation divider 4, LTA drift 20, target 240, threshold 6, debounce 1/1, LP1 count/LTA betas 220/8, LP2 240/16, hardware 9C47 and 6/100/32/32/100 ms mode rates. ALP event is disabled while automatic ALP re-ATI remains enabled. Registers 1B...20 expose combined count, LTA, raw A/B and two 10-bit compensations, but stock IRQ reads none and ignores ALP ATI error","Firmware and official register-map confirmed; complete read-only offline configuration/output support implemented; acquisition and physical meaning remain custom-bridge/capture gated","Typed per-layout ALP configuration decodes electrode masks, ATI, filtering, hardware, mode timing and damping factors; strict 12-byte decoder preserves all six output words, signed count-minus-LTA, component sum and ATI boundary flags. No live register access is exposed","Forward at bounded rate only on a recoverable authenticated firmware track with explicit touch/proximity consent; correlate against controlled approach, wear and direct touch before labeling it as gesture, fit or presence, and measure LP1/LP2 power impact","High"
R1-097,Input,"IQS7211E electrical transport, RDY/LDO lifecycle and BLE fast-mode boundary","The production registry places address 56 on i2c_0/TWIM0 at 400 kHz with SCL P0.12 and SDA P0.01. Touch LDO enable is P0.30; touch_rdy_in and touch_rdy_out share P0.17, which is driven through the startup handshake and then reopened as the IRQ input. First service ownership posts open task bit 02, additional or duplicate owners do not cycle hardware, and final release synthesizes touch release then posts close bit 04. Known owner 0 is glasses wear/touch policy and owner 2 is factory ATI. touch_set_fast_mode schedules BLE connection-parameter state 20 and does not change IQS sensing or reporting rate","Firmware-confirmed exact bus, pins and service lifecycle; read-only offline support implemented; electrical levels, physical timing and host raw access remain gated","A signature-checked static-image summarizer emits the board transport, GPIOs, startup/close sequence, owner/task state machine and connection-policy mapping. Typed transport evidence and a pure multi-owner lease model reproduce first-open/final-close behavior without exposing GPIO, I2C, private task-event or BLE-policy senders","Passively capture P0.12, P0.01, P0.17 and P0.30 on owned hardware during controlled first-open, duplicate-open and final-close flows; verify voltage levels, 400 kHz traffic, reset timing and source sharing before any authenticated recoverable bridge is considered","High"
R1-098,Input,"IQS7211E active-low RDY interrupt and per-assertion bus servicing","touch_rdy_in word 00000200 decodes to no pull, high-to-low polarity 2 and no high-accuracy flag, selecting a low-accuracy nRF PORT event on P0.17. Generic dispatcher 6ED94 invokes installed callback 933FC, which posts touch-task bit 01 through thunk 8E7AC to worker 51368. The worker ignores inactive or sampled-high states; for an asserted low it opens i2c_0, processes the IQS IRQ record and closes the bus. Factory readiness separately waits raw 40 then performs at most 100 reads separated by raw 2","Firmware-confirmed exact interrupt polarity, callback chain and worker gates; read-only offline support implemented; external pull-up, voltage and physical timing remain gated","The version-bound parser signature-checks every callback/configuration function and emits the IRQ chain. Typed evidence plus a pure three-way decision model distinguishes inactive, deasserted-high and serviceable-low captures without reading GPIO or opening I2C","Passively measure P0.17 idle/asserted voltage, external pull source, high-to-low timing, assertion duration and deassertion after the servicing read on owned hardware; correlate the factory poll without enabling a raw host bus or GPIO path","High"
R1-099,Input,"IQS7211E communication-window policy and exact I2C framing","Config word 476C enables trackpad-touch, trackpad-position and gesture events, Event Mode, watchdog, command-based communication ending and automatic ALP/trackpad re-ATI; ALP/re-ATI events, manual mode and command-request polling are disabled. Reads write one register byte without STOP then repeated-start into data, using raw address timeout 500 and data timeout 200 below 50 bytes or 500 otherwise. Writes allow at most 80 data bytes. Normal IRQ completion sends address-only FF; six factory task bits 40...800 send FF plus markers 01...06. Too-many-fingers instead writes 33 08 reseed without an explicit FF","Firmware and official register-map confirmed; exact read-only offline configuration/framing support implemented; electrical timing and the exceptional timeout behavior remain capture-gated","Typed option bits and pure bounded frame builders reproduce read preambles, register writes and all termination forms without access to TWIM. The signature-checked static parser emits the same policy and explicitly prevents treating factory marker values as new controls","Passively capture repeated-start reads, address-only FF termination, factory FF-marker frames and the reseed exception on owned hardware; verify the inferred 100 ms timeout release before any authenticated recoverable diagnostic bridge, and expose no generic raw writer","High"
R1-100,Input,"IQS7211E reset, dormant suspend and bounded ATI-error recovery","IRQ worker 30E6C checks a scatter-initialized suspend latch before status. Show Reset 0080 invokes the complete initializer, whose final frame 33 A0 00 6C 47 00 00 acknowledges reset, queues trackpad re-ATI and restores production config. Eligible nonfactory trackpad ATI errors saturating-count to five: counts 1...4 send 33 20 00, count 5 posts close, schedules raw delay 66 logged as 100 ms and reopens; clean status clears counters and three hardware restarts is the give-up cap. Suspend function 2FDF8 preserves register33 and ORs 0800, but the latch initializes false and has no recovered in-image setter","Firmware and official register-map confirmed; pure offline state support implemented; reset/ATI behavior remains capture-gated and suspend is dormant/custom-bridge-only","Typed system-control bits, reset/suspend priority and exact immutable frames are implemented. A pure tested transition model preserves UInt8 saturation, factory/local gates, pending-timer close/open sequence, clean clearing and three-restart cap; the signature-checked parser validates initial state and functions. No I2C, task, GPIO or LDO sender is exposed","Passively capture unexpected Show Reset and a controlled sacrificial-device ATI fault if safely reproducible; verify the five-error threshold, raw-66 timing, physical close/open and three-restart give-up. Do not expose suspend until authenticated access, forced-I2C wake, rollback and power validation are proven","High"
R1-101,Hardware,"Complete six-entry board two-wire bus registry","Scatter initialization registers exactly two 400 kHz nRF TWIM buses and four GPIO-driven two-wire buses: i2c_0 touch P0.12/P0.01, i2c_1 motion P0.11/P0.14, i2c_2 dual temperature P0.28/P1.13, dormant i2c_3 P0.12/P0.11, i2c_4 optical/PPG P0.31/P1.09 and shared i2c_5 NFC plus adjacent YHM2710 state-command wrapper P1.11/P1.14. Five buses have recovered name lookups; i2c_3 has only its registry string and no consumer. Exact open/close/read/write tables and software delay callbacks are recovered","Firmware-confirmed complete initialized registry; immutable offline support implemented; electrical behavior and dormant i2c_3 purpose remain capture-gated","A signature-checked static parser reconstructs all descriptors and consumer functions. Typed evidence preserves engines, pins, roles, raw timing, peripheral bases and operation pointers, explicitly leaves i2c_3 unassigned and exposes no lookup or live bus operation","Passively verify each populated bus on owned hardware during normal read-only activity. Treat i2c_5 as shared rather than PMIC-only, do not drive cross-connected i2c_3, and require authenticated version-gated arbitration plus electrical validation before any low-level bridge","High"
R1-102,Hardware,"Complete GPIO input/output registries and board-control aliases","Scatter initialization contains seven 44-byte no-pull low-accuracy interrupt inputs: accelerometer P0.15 rising, PPG P0.21 falling, touch P0.17 falling, firmware-named mcu_reset P0.18 falling, firmware-named pmic P1.01 falling, NFC GPO P0.03 rising and YHM2710 state-command P1.01 falling. Five 56-byte task-capable toggle outputs start as PPG emitter P0.10 low, touch LDO P0.30 low, PPG reset P1.04 low, destructive ship mode P0.09 low and touch RDY drive P0.17 high. mcu_reset_irq and pmic_irq have only their registry strings and no recovered name lookup","Firmware-confirmed complete initialized GPIO registries; immutable offline support implemented; dormant aliases and physical electrical behavior remain capture-gated","A signature-checked static parser and typed evidence preserve every descriptor, edge, startup level, shared pin, operation table and lookup function. P0.17 input/output and P1.01 dual-name aliases remain explicit; no GPIO operation or ship-mode control is exposed","Passively measure normal sensor interrupt and power/reset transitions on owned hardware. Do not stimulate unconsumed reset/PMIC aliases or generic outputs; any future bridge requires per-role arbitration, authentication, version gating, voltage/timing validation and recovery, with ship mode kept destructive-only","High"
R1-103,Platform,"RTC2 wall clock and independent hardware watchdog","The sys rtc descriptor selects nRF RTC2 base 40024000, prescaler 4095 and priority 6, yielding 8 Hz/125 ms ticks from the documented 32768 Hz LFCLK. Callback 56274 counts subsecond slots 0...7 and increments UInt32 seconds each eighth tick; read 5639C emits seconds plus the exact but non-millisecond composite seconds*1000+slot. Set 5649C stores signed UTC-offset minutes and seconds. The separate watchdog descriptor uses behavior raw 1, 10000 ms reload, priority 6 and one channel; open 56658 starts it, feed 56638 accepts argument zero, empty timeout callback 96A1E returns, and main loop 9230C feeds after each cycle","Firmware and Nordic peripheral behavior confirmed; exact offline clock/watchdog support implemented; physical LFCLK source/accuracy and reset timing remain capture-gated","Typed tick state reproduces 0...7 rollover, UInt32 wrap, signed offset and the misleading composite without relabeling it milliseconds. A signature-checked static parser preserves both device records, operation tables and lifecycle. Normal authenticated time sync remains available; no private RTC operation or watchdog feed/bypass sender is exposed","Compare wall time drift and the raw composite against controlled timestamps, identify LFCLK source, and validate watchdog reset reason/timing only on sacrificial hardware with recovery. Never expose feed suppression or bypass as a user control","High"
R1-104,Platform,"Internal flash device and complete FAL partition layout","The private device_flash descriptor initializes a 36-page region immediately below the runtime UICR bootloader boundary, falling back to the FICR-derived flash end when UICR is erased. The exact 64-byte FAL records are contiguous and page-aligned: kv.bin 2 pages, health.db 6, sleep.db 2, pKey.bin 1, reserve 11, ep.bin 2 and log.bin 12. Every name except reserve has a recovered lookup consumer; absolute target addresses are not embedded in this application image","Firmware-confirmed complete storage topology; immutable offline support implemented; absolute boundary and stored contents remain physical/capture gated","A signature-checked static parser validates the descriptor, internal operation table, FICR/UICR formulas and all seven records. Typed evidence preserves magic, names, offsets, lengths, roles and consumer status, with bounds-checked address translation requiring a supplied target boundary. No raw flash read, write or erase path is exposed","Read FICR/UICR only on an owned device through a proven non-destructive interface and validate the absolute boundary. Treat health, sleep, keys and logs as sensitive private data; do not expose callbacks as host commands or access contents without authentication, explicit consent and a recovery plan","Critical"
R1-105,Security,"GoMore persistent key and prior-state flash contract","pKey.bin stores a 72-byte prefix containing required key length 64, a non-reflected Castagnoli checksum using polynomial 1EDC6F41 with zero seed/xor, and 64 sensitive key bytes. The remainder holds aligned prior-state records: writer slots 0...2, restore probes 3...0, no state checksum and a 944-byte input bound. Occupied slot 2 compacts by preserving the key prefix and erasing the page; replacing the key erases all prior state. Set-key ACK is queued before persistence","Firmware-confirmed sensitive record and lifecycle; redacted offline validation and exact payload support implemented; provisioning remains unavailable","A signature-checked parser validates the checksum table, functions, registration and dispatch evidence without emitting keys. Typed inspection retains only length/checksum metadata, the pure checksum and slot arithmetic are tested, and a builder accepts exactly 64 key bytes. No raw flash or provisioning sender is exposed","Establish licensing/account scope, authenticated authorization, secure in-memory handling, post-write durable verification, failure reporting and recovery on owned hardware before enabling provisioning. Never log or ordinarily export key material","Critical"
R1-106,Diagnostics,"Firmware-named EP circular journal and recovery contract","ep.bin is exactly two 4096-byte pages holding 1024 eight-byte records. Producer 5E118 packs magic A, four masked producer fields, three context snapshots and UInt32 firmware time into a 16-slot/15-usable RAM queue; full drops incoming and wraps a UInt16 counter. Raw event 2003 resolves past the storage-family null sentinel to thunk 42BB0. Flash drain uses a 10-bit cursor, conditional page-start erase and opposite-page pre-erase. Scan chooses the first magic mismatch, otherwise advances after the greatest nonzero timestamp with later ties winning; magic plus zero timestamp is neither free nor latest. EP expansion and several field meanings remain unresolved","Firmware-confirmed journal topology, record, queue, dispatch and recovery lifecycle; complete offline support implemented; contents and semantics remain capture-gated","A signature-checked static parser validates partition/functions/scatter dispatch without exporting data. Typed lossless record packing/decoding, queue overflow, widened range checks, cursor locations and complete partition scans are tested, including wrap, tie and all-magic-zero behavior. No raw export, internal-event, flash write or erase sender is exposed","Inspect only consented captures obtained through an authenticated non-destructive path on owned hardware. Correlate records with controlled normal events to resolve EP and fields; treat contents as private diagnostics, and require version gating, redaction, bounded export and recovery before any bridge","High"
R1-107,Diagnostics,"log.bin circular pages and composite virtual export","log.bin is twelve 4096-byte sectors whose word at +4 determines erased state. The writer advances and conditionally erases before crossing a sector, pre-erases the successor and normally drains one 4096-byte live-cache page behind a raw 10000 timing gate. Export file type 1 concatenates all 8192 EP bytes, every nonerased log sector cyclically after the first erased sector, UInt16-length live cache and an optional valid crash C string. Eligibility requires a log sector or EP magic record. One non-reflected Castagnoli checksum covers the whole virtual file; export freezes log/EP writes and stop resumes EP event 2003. The stock arbitrary reader has a physical wrap edge avoided by aligned normal chunks","Firmware-confirmed storage writer, virtual file, checksum and coordination lifecycle; complete safe offline reconstruction implemented; live export remains capture-gated","A signature-checked parser validates the partition, functions, scatter descriptor/callbacks, wire type and fragmentation without reading a ring. Typed inspection reproduces erased probing, full-partition fallback and cyclic chronology; reconstruction safely segments EP/log/cache/crash, trims NUL, enforces UInt16 cache and widened total bounds, reproduces eligibility/checksum and exposes no flash or live export sender. Raw log privacy remains consent-gated and ordinary text uses LTK redaction","Capture only the authenticated start/data/raw/check flow on an owned ring and verify generated length, checksum, chronology, cache/crash tails, retry, disconnect and writer-resume behavior. Audit/redact all identity, health and bonding material before enabling a diagnostics-only sender","High"
R1-108,Storage,"kv.bin four-snapshot class store and recovery edges","kv.bin contains four 2048-byte snapshots across two sectors. Each snapshot has eight 256-byte blocks; seven registered classes are dev_info/52, ble_mult/90, health/12, hsync/24, power/4, nv_r1/124 and r_size/1. The 24-byte header contains base-131 name hash, fixed eight-byte name, 01PE magic, raw state, dirty/other/index flags, stored length and CRC-16/MODBUS. Any dirty class causes all seven to be stored. Latest selection scans slots 3...0 using only first-class magic; per-class restore checks hash/name and CRC over descriptor length but not stored length or later magic. There is no snapshot checksum. After four snapshots both sectors are erased before slot-zero reuse","Firmware-confirmed class topology, record, selection, restore and erase lifecycle; complete payload-redacting offline support implemented; contents remain capture-gated","A signature-checked parser validates partition geometry, wrapper/core functions, scatter operation and class pointer tables, all seven descriptors, hash and CRC without emitting defaults. Typed bounded inspection reproduces sector scrub, latest/next slot, whole-store erase threshold, exact per-class acceptance and the partial-latest edge while retaining only metadata/checksums. No raw flash, KV write or erase sender is exposed","Inspect only explicitly consented owned-device captures through an authenticated non-destructive path. Correlate class fields with existing typed device/BLE/health/power/NV models; retain payloads only under separate identity/health consent. Never treat snapshots as atomic, and establish backup/recovery plus power-loss behavior before any mutation","Critical"
R1-109,Storage,"Complete kv.bin class payload schemas and consent-gated typed decoding","dev_info/52 contains two sensitive six-byte peer slots, CAMH marker, health/software-DCDC/glasses flag bits, health-settings timestamp and the ship-mode record at offsets 36...43: UInt32 timestamp, type bits 0...1, 14-bit battery millivolts in bits 2...15 and preserved state bits 16...31. Observed type writers are sustained voltage below 3350 mV at type 0, PMIC power-off at type 2 and public power-control command 2 at type 3; type 1 has no writer in this image. health/12 is the GoMore age/sex/height/weight profile plus three unlabeled signed parameters; production ranges are 11...99, 0...1, 101...219 cm and 31...149 kg with defaults 20/0/175/65/200/50/200. hsync/24 has six UInt32 cursors: HR at 0, SpO2 at 4, HRV at 12 and activity at 16 are live; 8 and 20 are unreferenced. power/4 is battery type, reserved byte and Int16 compensation; r_size/1 and the existing nv_r1/124 model complete the active schemas. ble_mult/90 has no dedicated accessor and compiles all zero","Firmware-confirmed field boundaries, defaults, validation, accessors and negative reachability; typed offline capture plus source-built read-only power/NV consumers implemented; real contents remain capture-gated","The signature-checked parser validates every accessor/validator prefix, all compiled defaults and metric-named hsync diagnostics without emitting identity payloads. Metadata inspection stays redacted. A separate explicit-sensitive-data policy decodes device/profile/sync/NV classes only when hash, name, per-class magic, stored length, encoded index and CRC all agree; the typed ship-mode record masks battery mV correctly and preserves high state bits, while compatibility aliases retain prior API spelling. The source-built target strictly decodes power and nv_r1 sensor configuration, adopts only valid typed values, and performs no mutation. No raw flash sender exists","Acquire only authenticated non-destructive owned-device captures with separate identity and health consent. Differentially correlate the two peer slots and remaining generic dev/health/hsync fields; validate ship-mode values only through passive captures from owned hardware; treat ble_mult as dormant until later-version or controlled-capture evidence proves otherwise. Never expose snapshot writes, and preserve rollback/power-loss recovery requirements","Critical"
R1-110,Storage,"Complete health.db and sleep.db physical journals","health.db is a six-sector FlashDB TSDB with 80-byte TSL0 headers, 32-byte indexes and fixed 128-byte hourly bodies; 25 records fit per sector/150 total. Bodies contain signed UTC offset, recorded UTC timestamp, HR/SpO2/temperature/stress avg-max-min, six packed steps/active-kcal/all-kcal buckets and HRV aggregates. It has no per-record checksum and stock recovery may format all sectors. sleep.db is a separate two-sector circular journal with eight 24-byte headers per sector/16 records total, aligned bodies from offset D0, copied UTC/start/end fields, CRC-16/MODBUS, full markers CCFFAABB/66889977, close sequence, and synchronized marker 11223344. Its physical stages are two-bit type plus six-bit half-minute runs","Firmware-confirmed layouts, retention, rollover, integrity and destructive recovery; consent-gated offline support implemented; real contents remain capture-gated","A deterministic signature-checked parser validates every storage/helper function, FAL geometry, metric descriptor, status constant and diagnostic without reading a device or emitting biometric values. Swift scanners default to structure-only redaction. Explicit consent unlocks typed hourly/session bodies; health records receive strict bounds/fixed-length checks with an explicit no-checksum limitation, while sleep records require range, CRC, logical stage count and duplicated metadata agreement and provide the exact merged phone-stage view. No raw flash, internal-event, sync-marker, format, write or erase sender exists","Acquire authenticated read-only health.db/sleep.db captures from an owned ring with separate health consent. Validate rollover chronology, retention under power loss, body-temperature scale, aggregate units and actual zero/padding behavior. Never invoke stock format/erase recovery from the phone; preserve corrupt images for analysis and use copy-on-import redaction","Critical"
R1-111,Sleep,"Stored-session response acknowledgment and delayed-ACK protection","Public model 0601 iterates only unmarked sleep records, expands compact stages and registers callback 8F780 before send. Firmware privately retains a 12-byte absolute-header-address/start/end context; the callback publishes storage event 2001, whose 42BCB thunk and 8E1E0 consumer invoke marker writer 5B6F4. It rereads the 24-byte header and writes 11223344 at offset 14 only when both timestamps still match, preventing a delayed response from marking a recycled slot. Commit processes low8(byteCount/12), ignores a partial tail, rechecks neither CRC nor body, and has no recovered flash-write retry","Firmware-confirmed end-to-end callback, event dispatch, stale-slot guard and commit limitations; strict non-mutating offline support implemented; real response timing and persistence remain capture-gated","A deterministic signature/scatter-checked parser validates iterator, expander, callback registration, callback, publisher, dispatch thunk, consumer, marker writer, pointer and diagnostics without emitting sleep values. Swift decodes only complete nonwrapping 12-byte batches and reconciles against a supplied runtime sleep.db base, exact record-header slot and copied metadata while returning no stored timestamps. It distinguishes outside/non-header/erased/stale/already-marked/eligible states and exposes no protocol callback, internal-event or flash-marker sender","Capture one consented owned-ring sleep.daily transfer with disconnect-before-ACK, delayed/replayed response and post-ACK read-only image checks. Confirm whether every matching response invokes the callback, marker-write latency/failure visibility and retry behavior. Never inject event 2001 or accept an arbitrary absolute address from a host","Critical"
R1-112,Platform,"Complete internal sensor-task event registry","The scatter-loaded dispatcher has exactly 38 addressable slots and 36 handlers: sensor 0001...0010, system 1000...100E and storage 2000...2006, with explicit nulls only at 0001 and 2006. The populated surface exhaustively maps callback fan-out, time/hour boundaries, HR/HRV/SpO2/temperature/stress/activity/sleep publications, history/test paths, every metric mode and measurement control, profile/charge/health state, sleep finalizers, and six storage actions. No additional initialized sensor modality exists in these tables. Storage 2002 erases the complete sleep journal after CRC failure; 2004 persists the length-prefixed GoMore key and 2005 restores MAC-selected compiled NV defaults","Firmware-confirmed complete internal task boundary and negative slot audit; immutable offline registry implemented; runtime production behavior remains partly capture-gated","A deterministic signature/scatter-checked parser validates dispatcher/publisher, every table word, both leading sentinels, all 36 handler prefixes, payload cardinalities and named diagnostics without emitting captures. Swift exposes typed family/ID/handler/semantic/payload records, explicit null slots, exact lookup and count tests. Existing strict decoders cover recovered fixed health/history/sleep/key shapes. No internal publisher, arbitrary pointer, persistent-write or destructive event sender is exposed","Classify authenticated debug captures against the registry and validate event cadence/ordering under ordinary operation. Any new claimed modality must show a different dispatcher, firmware revision or hardware path. Never inject internal events: several persist biometric/key state, 2002 erases both sleep sectors, and callback records can contain firmware-only pointers","Critical"
R1-113,Health,"System-time transition and hourly health-rollover pipeline","The public system-time handler builds a private 12-byte old/new signed-timezone and Unix-seconds record for internal event 0003. Clock update is always attempted; subscribers run only when timezone changes or absolute delta is at least 31 seconds. GoMore reinitializes at 180 backward seconds. At 3600 backward seconds health.db is formatted and only hsync offsets 0/4/12/16 reset; unresolved offsets 8/20 persist. Unix 946080000 is the validity floor, cross-day comparison applies each offset, and future named cursors clamp. Provider event 0004 has three slot-1 subscribers: HRV and SpO2 eligibility/window scheduling plus the prior-hour database writer. It clears six caches at midnight and attempts an empty slot-2 fan-out","Firmware-confirmed complete producer/consumer/subscriber thresholds and callback registry; strict non-mutating offline support implemented; live timing remains capture-gated","A deterministic signature/pointer/constant-checked parser validates all producers, consumers, five callback slots, all 13 registrations with exact 2/3/0/2/6 topology, threshold words and diagnostics without emitting timestamps or health data. Swift strictly decodes the 12-byte transition and one-byte hour records, predicts broadcast/GoMore/format/recovery/cross-day/clamp/midnight consequences, represents all callbacks, and reproduces known hsync reset/clamp rules while preserving unresolved words. The authenticated public time command remains supported; no private event, callback or destructive format sender is exposed","On an owned ring, capture ordinary startup, 30/31-second corrections, timezone-only day crossing, 179/180-second and 3599/3600-second backward corrections, and midnight rollover while read-only imaging health.db and kv.bin. Confirm callback order, HRV/SpO2 120-second scheduling windows, persistence, format visibility, missing-hour behavior and power-loss edges; never trigger private events or formatter directly","Critical"
R1-114,Health,"One-shot sensor-thread health startup policy","After health-service initialization, the sensor task has one static pre-loop publisher call for no-payload event 0005. Its consumer selects HR system event 1001 mode 1, SpO2 event 1003 mode 1, calls an exact no-op for temperature, and selects stress event 1007 mode 0. HR mode 1 creates a 600000 ms timer. SpO2 and HRV use gated 120-second hour/catch-up windows; catch-up starts only with at least 151 seconds remaining. HR accepts modes 0...3, while SpO2/stress accept 0...1. Mode selection alone does not guarantee measurement","Firmware-confirmed one-shot producer/consumer, mode wrappers, accepted ranges, timing constants, temperature no-ops and catch-up arithmetic; immutable offline support implemented; runtime power and cadence remain capture-gated","A deterministic signature/callsite/constant-checked parser validates the sensor task, service init, event-5 consumer, all four helpers/wrappers/mode consumers, HR/SpO2/stress transitions, both temperature no-ops, 600000/120000/3600000 constants and common 3600/150/30/120 window arithmetic. Swift exposes exact ordered selections and a pure catch-up boundary calculation. No private event, system-mode, public BLE control, or live health-mode sender is exposed","On an owned ring, passively capture boot/restart ordering, first HR timer fire, hour and health-enable catch-up edges at 151/150 seconds remaining, global-health/wear gates, allocation failures and power draw. Determine whether task restart republishes defaults. Do not inject event 0005 or private system modes; any bridge requires authenticated public routing, consent, cancellation and rollback","Critical"
