# SPDX-License-Identifier: MIT
path	components	overlay_license	source_spdx	upstream_record	desired_license	disposition	source_sha256_before
components/apollo_main/core_overlay/mram_find_by_ltk_request.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	bfd7de15454c63daecd39cdbea4fa10503d5b2565c451ba601a4f13736bea856
components/apollo_main/core_overlay/mram_handle_pairing_failure.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	9c83774ec0a97d964aaa117771dfda4fa9ddc549399071436b1b36baf4faac7e
components/apollo_main/core_overlay/mram_handle_resolved_address.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	d5747f9ba54780c0d23a10fac78da5169961fe61682bcbf2552b84a0e71c58ba
components/apollo_main/core_overlay/mram_initialize_records.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	02c19cdaf7af9fadc8e4ddf0c04f1dd31b7f197c518b109225ec6b6a43e0f33a
components/apollo_main/core_overlay/mram_load_records.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	8994a97f690002ff5375e6845fbc7899e9b504a1c5c6c8b75300100956204432
components/apollo_main/core_overlay/mram_persistence.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	3e4d7b0883fd18c97b9929e2a2cd460f50ecd834e89fdef0a209affe81eec327
components/apollo_main/core_overlay/mram_program_bytes.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	7eccb6fee7b71f0737d0e6b9c39e2e73541e78cf62f49ad2746129d5a77c9e5a
components/apollo_main/core_overlay/mram_record_accessors.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	4f9183dc37d0f8202ff5fb74f7f4bc5ccbbfcf292c749f0a1bd2e0904c873802
components/apollo_main/core_overlay/mram_record_metadata.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	1621209a36256e01d8478a979b89c74b2d1ebbbf7ccfce63b48ad6325e1d7a6e
components/apollo_main/core_overlay/mram_record_queries.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	61cbf8ba7760928f3efbd7189f20d8b4dc025042b697b975f342e270e635b0c9
components/apollo_main/core_overlay/mram_reload_resolving_list.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	329a524e1daadb7a7f65ca07cb3c49fdb1270e8cf40526be6da856fca4023e93
components/apollo_main/core_overlay/mram_reset_record_timestamps.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	80e453a638f4e0965cfe0e9f8b7587b241746e4fc27d882200a57cdf3944a82c
components/apollo_main/core_overlay/mram_resolve_address.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	ca1c9dd34f276a24c9d2bcd39b9ee1ee706d88e9a29e17c676dc940e20594761
components/apollo_main/core_overlay/mram_set_key.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	a61b5d38a1c09e3b1761575b3704c2ab5dad8caa2d1382ff45fc025a947db6eb
components/apollo_main/core_overlay/mram_show_nvm_status.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	8c142d35113401dd7f416960c9c3950e7b9a000f24f17445a8a29ca9a218f1db
components/apollo_main/core_overlay/mram_show_records_status.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	83746bfa55e43ee7e2dab8fd079d7e7d96b2c4a51b0aaf24c490eb0256e5050a
components/apollo_main/core_overlay/mram_sync_records.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	75bf3618e773f0124131eea5c3a2bc11a066c3ee385743b08b164112bfd5f981
components/apollo_main/core_overlay/mram_update_record.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	6446f56a6a9e15266780b5dae2839aca7ad42b6d7d20c9efcb582db075943109
components/apollo_main/core_overlay/mram_update_record_timestamp.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	faad378b6410f96079e359bd6e2a3c71c5ecbca2cf81fdb92fddd046a60d04af
components/apollo_main/core_overlay/mram_verify_write.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	58173eeb43aa84f29b4a6b2e452c5808e3e23b5c076819fbfa56d7f344663699
components/apollo_main/core_overlay/nvdb_adv_magic.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	6385cb384472a5789331ed22cc0068f20272c0c689ab241b90d589c13a692c21
components/apollo_main/core_overlay/nvdb_buzzer.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	c4ed1b989c5e7ab019bd00fa9e57ee6ed166afe24caef7f1d37700efefe9656b
components/apollo_main/core_overlay/nvdb_mac.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	7f9d10a4e413f99038ac32f8aedb47ec898ffe25f0720c89b1aff0d0dc891919
components/apollo_main/core_overlay/nvdb_product_mode.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	443764591c25b14678180a5dfb6777c627f3ae4a805ef4adcf5e86347812c91d
components/apollo_main/core_overlay/nvdb_sensor_caldata.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	3d321cdfffab322fede0d7e3cb6699ba27e49aee9cc14f779da6bac1aafd16a3
components/apollo_main/core_overlay/nvdb_sys_dt.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	a18152b8a7e769142bb21795cb724ef29df2c8ea18176050d12d8606189516c7
components/apollo_main/core_overlay/onboarding_control.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	014cc7b276dae2821b07db265008992a805ce33d270eef4d4b6b1d049b1e25e1
components/apollo_main/core_overlay/onboarding_flag_persist.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	63167cba04a32714c518ff7cdf5d89d8b07af1bf0450c4504a40c305b718f6ca
components/apollo_main/core_overlay/onboarding_flag_update.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	1bf521807e6604d3fc163a0cbb4285100a9f189c32971556b95f4a10d8336cc2
components/apollo_main/core_overlay/onboarding_peer_flag.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	45dd5b794f2b81b0d9cc1076a8d6f1239273cf3941876cac921ed2e66d138761
components/apollo_main/core_overlay/onboarding_peer_flag_reply.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	701b6bf8c227e955aa0636ffd561819380b4ecb42742b5c1daaa20829da3807d
components/apollo_main/core_overlay/onboarding_process_sync.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	1a14dfebeac2c055633ecd9eb0d94e045062d39d2f53b1a4ed148109671a97bc
components/apollo_main/core_overlay/onboarding_runtime_init.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	c321aff8f277460c636ce8a63b3bb29816afda1ebeb27656be00d8b015fd295a
components/apollo_main/core_overlay/onboarding_wear_status.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	9e68ea72309db0e8f40db7b167ee0b3cdeef7d4a27813508fd6d8b31b2b447c9
components/apollo_main/core_overlay/opt3007_registers.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	b58491eaa417f6edd48679112886dbb894c6e92e58d2a14b5aab2dbe2dae6844
components/apollo_main/core_overlay/ota_service.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	1b501a572c77e3b3105a10db4ead5100ff9a8d0f4c19f031d9067ed79731424b
components/apollo_main/core_overlay/ota_transport.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	548b3fc37f99cb9ac2a57efddaed6f8e555f821e5af2cc6f5cb193da0b09ec9b
components/apollo_main/core_overlay/pb_service_conversate.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	04ded321c0a5f25be9328fbe971512cf16f54657e9e91e6c56605e2d740d579c
components/apollo_main/core_overlay/pb_service_dev_config.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	46c79dbaad289491f195562aea10d3d8ba92684e7227e463b697a04f31b67bc4
components/apollo_main/core_overlay/pb_service_dev_setting.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	bfb6a066ccb43b91f0d026cbc26078ecead559297d7289bacd52a389f5193215
components/apollo_main/core_overlay/pb_service_even_ai.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	6a8ff21295e7612cae2287accc6e3ffb1f1fd639b61f044804ea45286b00188a
components/apollo_main/core_overlay/pb_service_glasses_case.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	3d8695b1da919199cd5758a5288373a7c1e51e8151f5a66b9621f81dcf4f44d7
components/apollo_main/core_overlay/pb_service_health.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	2a5faf89b2fc881b8ae2a19a28f1a2ba780fb7776939c5a560879f1c8791b6d6
components/apollo_main/core_overlay/pb_service_notification.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	e99566f9d7cf6c3fd00c4c0cad332600a7e2a6f6c85f55101c409780fb8e31bc
components/apollo_main/core_overlay/pb_service_onboarding.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	81a578ee935776fdb798962859800dd835f3c063e3c94c701d058c2319a56a35
components/apollo_main/core_overlay/pb_service_pair_mgr.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	917a17e5c161a4a55a46fe4bb14a5b9a7b613b5db8e31dd4ee18f8ba4e53b0fe
components/apollo_main/core_overlay/pb_service_quicklist.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	ce4f5063e971cbed8d36ebdb764f88472efc4d9a7d581f125c3dfff64756e908
components/apollo_main/core_overlay/pb_service_ring.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	270772d136060be649f684e05e3de604bd89bd8ea6e0a4599ee550077c5c19cb
components/apollo_main/core_overlay/pb_service_setting.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	203b260e1e12286734073e587507eaceaec351a307c7243c3beecabb8fe97abd
components/apollo_main/core_overlay/pb_service_teleprompt.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	d1f308195a7076fe41043f0cea8b70a6b1d9250dabb962f6b05285120c616c68
components/apollo_main/core_overlay/pb_service_terminal.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	b6feacf5bb491f28e1a3718dbf29ee2c5f5038e94ee9eabfb1f584eb5a2cb123
components/apollo_main/core_overlay/pb_service_translate.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	1e6429d33df883ca498112850f6e38254798d82e88de86d2b2c450d9300d0095
components/apollo_main/core_overlay/product_rtos.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	4dc4706ec021bb1d0cf0b0c3f9b0960ce934f94f810b0a753bdd50863d5083fb
components/apollo_main/core_overlay/ring_connect_policy.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	57a49e13253ef1a28bd8de89dcc848c74d5c958d629af5fc8cbede3e35e1475a
components/apollo_main/core_overlay/ring_read.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f1e93c252fc3bd006dd942af58df966fbc9a0cc248c62fdaf9dbcc2c8480223e
components/apollo_main/core_overlay/ring_service.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	bb7c17d7efbc0cea2cd18c480ca1c09b5f16ade2fb02671eca3eacb48b7cd227
components/apollo_main/core_overlay/ring_write.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	74d17394c9d5df6c91bfcfc1b51a02edfd5a55b905afd9db2f8ea52d62d7dac7
components/apollo_main/core_overlay/rtos_event_group_clear.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	18cc8a711d47cf9d027d27407ecfae221fe49952776fb3e3f9f4f51a944bb394
components/apollo_main/core_overlay/rtos_event_group_clear_callback.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	158a69aaf4e35f262cf3c6c90b23c3504c5e4543215e262294e3159595561db7
components/apollo_main/core_overlay/rtos_event_group_clear_from_isr.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	1e858111aff7b7bd87a8fa985c2c84d05963a861b0d271f5be5a9191aeb44787
components/apollo_main/core_overlay/rtos_event_group_create.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	45379273cbb299865f364691013d699ac5f93442c50e15cdf47c69efe83724fb
components/apollo_main/core_overlay/rtos_event_group_get_bits_from_isr.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	6afc615fe8e6f10766a1f9b09e01d555ad8516952d35c73a511efc44866500e1
components/apollo_main/core_overlay/rtos_event_group_set.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	c5c8c4dc1e8e28df48361d10de0a5560febd0e8c56586b5c4cd06bac8fa9639e
components/apollo_main/core_overlay/rtos_event_group_set_callback.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	0f4f59a07006e31cd1d34f41035785a91cee68337ea7d32a798d72741a1685df
components/apollo_main/core_overlay/rtos_event_group_set_from_isr.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	1c69918dc78bd09e7296ba6f176774553957c02f9c2104d1cd50f50c77eca787
components/apollo_main/core_overlay/rtos_event_group_test_wait_condition.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	40abb35cc7bb9b91ff95acb50f7464011676549a7f61ecfd652e25da2123ed40
components/apollo_main/core_overlay/rtos_event_group_wait.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	31c6a7c259ef577cd3bb4f21ef29120238486375936aa9ff9da523f466dc670a
components/apollo_main/core_overlay/rtos_timer_command.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	3895d72dd2fa1ef2cce7e6ee5c8883f8156c2d46012372d7db3119353235ef56
components/apollo_main/core_overlay/rtos_timer_drain.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	bb8582927cf796d6e88805e2385cd81412c43c4dfb36959bc6f18c761bebd3f0
components/apollo_main/core_overlay/rtos_timer_dynamic_create.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	c970ffa4af1571dfde8f17a00ee8d096719287ad374b155dca5da0f32e9dcdda
components/apollo_main/core_overlay/rtos_timer_expire.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	94e1f1361cda2c5bfed2323719a9b19bb9478f53211238cd03cfd7b917edffbd
components/apollo_main/core_overlay/rtos_timer_get_context.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	a2ea8e6c91758062994d31a5afde7c1267e77cda19bc4e24dd74f8856937231c
components/apollo_main/core_overlay/rtos_timer_initialize.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	c0d1ec899b6c64da0ac3ad6cb53a5aa53a136ed30f8d6e69f21666915a258e11
components/apollo_main/core_overlay/rtos_timer_insert.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f1c01b2bf2b09dfa3322f000fdedc3abc0c5bb3eaa24515b646972c927c442d5
components/apollo_main/core_overlay/rtos_timer_is_active.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f0e20d1e42d9177e553ae3c892b39eb8180bc01707ab4a985563efc2fe373aaa
components/apollo_main/core_overlay/rtos_timer_pend_from_isr.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	becd3988f170e13536fc036fb0678cac9633d18fa1faf6ed55cf0fb1634d7645
components/apollo_main/core_overlay/rtos_timer_query.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	8225c684a70280cda35e2ff26bf7842873aedb64a20e97445ce1a15cddf014f1
components/apollo_main/core_overlay/rtos_timer_reload.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	b8f4764c20dae6d30889ecb822509cad23d1e9393dc315c62b482cf55ebfeee6
components/apollo_main/core_overlay/rtos_timer_runtime_initialize.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	ef54978cbaa1f12f9181315e4f1a510bb6f3d8f155890717d4f1d68e5e980327
components/apollo_main/core_overlay/rtos_timer_sample.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	59dbf5af849f90a6bdf13cddbfe81786a7cfa74cec690187125fc409921ebce8
components/apollo_main/core_overlay/rtos_timer_service_loop.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	2207970b80cbeff961dcaa56d88f41338006eb5ee5851bb9672f630a4c0cc972
components/apollo_main/core_overlay/rtos_timer_static_create.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	9b362834bf089d62fa9a0d634751d8f37c779ce1f57fccb30ad0de1de0fb77f4
components/apollo_main/core_overlay/rtos_timer_switch_lists.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f710440b1429c10b34f13cf563b4bc03e846d538427dd3abd27e84e42336b9b7
components/apollo_main/core_overlay/rtos_timer_wait_or_expire.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	6d53bf60c73f733869f9a07d790389577701419d54f788474ca2a9827707b3cc
components/apollo_main/core_overlay/runtime_ascii_fold.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	84c357e2b2ee87cf1b1d220ef397d891308f6dc62629c138e16ae225726a0eea
components/apollo_main/core_overlay/runtime_byte_map_lookup.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	cb12d26644288739f6b7ab9a6d78022603654184fcefa8c4d5d16d0b5775c184
components/apollo_main/core_overlay/runtime_byte_map_lookup_u8.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	07487b415503ea3ba0de4c1536a3a4e38cd7d50aa4875138e1c932b9b05c1b58
components/apollo_main/core_overlay/runtime_color_math.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	73246a7f49dc6b74426f0ad7dc04c166fdc8a31f88f769dbf2d44bb82b89ecf3
components/apollo_main/core_overlay/runtime_color_mix.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	7322ce626015cdb24ddb2e6a93bf314758ce7b4c6cc8c6104aa3f6eee4dc328d
components/apollo_main/core_overlay/runtime_color_over32.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	533380b1dd304c1cb79bd2db52dcdab193e6c8438f114de98c0533a2a9261434
components/apollo_main/core_overlay/runtime_crc16_ccitt.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f1cd6ccee14bcb796d998b349abaf08d8767ece0b7eec25ec787be76e8ab35d5
components/apollo_main/core_overlay/runtime_decimal_scale.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	ffb96578c9470fe25b6be5b2d6663c33a8d45c0f1ca5d610452e94b1977a54ca
components/apollo_main/core_overlay/runtime_easylogger_async_record_build_single_owner.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	3b9588c36deb0d8dce58db71077530c86bb1f00f2ddeaca04f29e64946bf1b8f
components/apollo_main/core_overlay/runtime_easylogger_async_submit.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	af10cd3d16ced4cea5d447a2f06e51010acf34d2418b8cd2e2a24548cd17e1a2
components/apollo_main/core_overlay/runtime_easylogger_hexdump_support.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	1df9bbd35892888eee6412441958b2a2c6d60818caab2dbdf729f178d779446a
components/apollo_main/core_overlay/runtime_emit_span.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	2859ab65ecd5b6248eabe8fd3caa5753e455161aacf64382d02f7dd2054b925b
components/apollo_main/core_overlay/runtime_format_parse_helpers.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	56f533f9979113cb097cb4ad1a8d932817a006e1dcacc00e64bee2a77b0f4edd
components/apollo_main/core_overlay/runtime_integer_format.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	50bd4eda271f7d8a82eb30d39d3e1c219232adfddef695d05e87c33c0bb8672b
components/apollo_main/core_overlay/runtime_linked_list_accessors.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	0306e0082a1478133f80cb9b83ab7c41eed83926f293aa2bf30a10afcaa0b842
components/apollo_main/core_overlay/runtime_linked_list_clear_custom.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	0b15f4d18167147c43f0d51b13e7a139e8f2bf60f4cda3deef793f5d8e7d0d06
components/apollo_main/core_overlay/runtime_linked_list_init.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	cdf70fe73815d7f33f23fd2e19502c415188e3ec50018086c1a7f5b2b3d57fe0
components/apollo_main/core_overlay/runtime_linked_list_insertions.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	2c3e91b6c39e8d180848d21ddf3f817430d37149be8427c59383dbda37999c94
components/apollo_main/core_overlay/runtime_linked_list_move_before.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	a71e0a688209f7892ee308b7c59b240f8cc9b4edc551cae53afb49a200b2f568
components/apollo_main/core_overlay/runtime_linked_list_pointer_setters.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	a0bcf96ffed87b2aab25b8460911bcdcfae2469d58d6a7f4bb06c3745fadbdf5
components/apollo_main/core_overlay/runtime_linked_list_remove.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	aa89eeb31d67c7ef6844021b1947c09ab4df68f25ee03a34f19770b8a9788be3
components/apollo_main/core_overlay/runtime_lookup_bucket_index.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	017f19ffdadaecc664eae9dbcd59f396a017602e23fb54ec27247d572c832e7b
components/apollo_main/core_overlay/runtime_lookup_is_static.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	9731161e4af2d499c74d6fcf771de25033f9eb5f40bb48192603aef5167b74df
components/apollo_main/core_overlay/runtime_memory_zero.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	88b6d694248beac2a8ac3db7b7913bcf02ac5c7a645d685cb5068675c6af6188
components/apollo_main/core_overlay/runtime_strchr.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	77d106622b9bfa7465a6d8f2c6e25bfff0ea7abe80241a35f9149b39fcb26186
components/apollo_main/core_overlay/runtime_string.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	04383ccc512527981510d2a564dbf83bf94c9e97596702e808dcac438705a02d
components/apollo_main/core_overlay/runtime_style_default_value.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	de78d69abe8f17f2e5ceaa8824aa165fa9199c577d425896dc622311baa6afe7
components/apollo_main/core_overlay/runtime_style_init.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	2be4c3f26f5b1b52971fcd7d39f32fa1b7985d45822da42fa41ce986795480a1
components/apollo_main/core_overlay/runtime_style_is_empty.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	7c9a12353cb70cb6e947e50623d2fc3565161f63d6bed18fd8d9134bfc3a6036
